2,0,0,0,0,2,0
4,6,0,0,0,18,16
8,145,12,36.089795,24.18482,50,48
16,791,42,416.618647,359.915264,114,112
32,5303,308,3216.623547,2859.536053,242,240
64,,,16042.1515,15444.1515,,
