2,4,2,0,0,0,0,8
3,8,4,0,0,0,0,16
4,16,8,0,0,0,-2,32
5,34,10,0,0,0,-2,64
6,92,36,0,0,8,6,128
7,202,82,6.376857,2.376857,8,6,256
8,460,178,32.403942,24.403942,24,22,512
9,988,376,86.24048,75.606285,24,22,1024
10,1945,666,208.961506,188.26903,56,54,2048
11,4219,1388,475.495776,432.918925,56,54,4096
12,8836,2896,1058.343261,969.18993,,,8192
13,,,2330.282127,2144.428241,,,
14,,,5094.378768,4709.229138,,,
